IncidentID,Timestamp,SourceIP,DestinationServer,AttackerCountry,AttackType,Severity,Status,ResponseTimeMinutes,FirewallAction
SEC-INC-50001,2024-10-18 20:33:49,56.145.253.203,SRV-PROD-08,Russia,Phishing Attempt,Low,False Positive,7,Alerted
SEC-INC-50002,2024-05-24 14:29:44,173.50.81.193,SRV-PROD-07,India,Brute Force SSH,Medium,Resolved,89,Alerted
SEC-INC-50003,2024-09-14 03:40:38,173.207.199.39,SRV-PROD-01,Netherlands,DDoS Attack,Medium,Resolved,79,Allowed
SEC-INC-50004,2024-03-18 16:51:40,65.227.161.24,SRV-PROD-04,Brazil,Privilege Escalation,Medium,Investigating,,Blocked
SEC-INC-50005,2024-09-21 22:09:48,211.134.239.197,SRV-PROD-06,Unknown,Brute Force SSH,Low,False Positive,164,Alerted
SEC-INC-50006,2024-01-21 14:06:47,106.54.157.156,SRV-PROD-02,USA,Malware Infiltration,Medium,Mitigated,29,Allowed
SEC-INC-50007,2024-03-14 11:16:12,185.223.249.205,SRV-PROD-02,Unknown,Phishing Attempt,Medium,Investigating,,Alerted
SEC-INC-50008,2024-03-23 02:28:54,116.148.94.91,SRV-PROD-02,China,Brute Force SSH,Medium,Mitigated,71,Alerted
SEC-INC-50009,2024-05-11 16:05:39,211.237.36.241,SRV-PROD-02,Unknown,Phishing Attempt,Low,False Positive,107,Alerted
SEC-INC-50010,2024-11-13 04:41:46,157.94.132.217,SRV-PROD-06,India,Phishing Attempt,Medium,Mitigated,72,Blocked
SEC-INC-50011,2024-01-22 22:35:45,209.15.190.203,SRV-PROD-04,Russia,Brute Force SSH,High,False Positive,101,Blocked
SEC-INC-50012,2024-03-22 20:45:28,147.219.19.58,SRV-PROD-07,Unknown,Privilege Escalation,Low,Mitigated,124,Blocked
SEC-INC-50013,2024-09-30 16:55:29,72.22.47.188,SRV-PROD-02,Netherlands,DDoS Attack,Low,False Positive,21,Alerted
SEC-INC-50014,2024-06-24 22:00:15,169.55.180.190,SRV-PROD-08,China,SQL Injection,Medium,Investigating,,Alerted
SEC-INC-50015,2024-03-15 23:18:34,99.82.146.9,SRV-PROD-07,Russia,SQL Injection,High,Mitigated,59,Blocked
SEC-INC-50016,2024-01-28 07:42:00,50.244.195.176,SRV-PROD-07,Germany,SQL Injection,Medium,Resolved,41,Allowed
SEC-INC-50017,2024-05-20 14:44:53,65.77.224.183,SRV-PROD-08,Netherlands,Malware Infiltration,Low,False Positive,52,Allowed
SEC-INC-50018,2024-02-17 15:36:08,132.247.193.77,SRV-PROD-03,Brazil,SQL Injection,Critical,Mitigated,126,Blocked
SEC-INC-50019,2024-10-01 05:51:01,156.91.234.178,SRV-PROD-07,Russia,Malware Infiltration,High,Investigating,,Blocked
SEC-INC-50020,2024-02-09 21:03:43,202.38.83.171,SRV-PROD-06,Russia,Brute Force SSH,High,Investigating,,Blocked
SEC-INC-50021,2024-09-12 11:31:12,74.203.249.173,SRV-PROD-07,Germany,Malware Infiltration,Medium,Mitigated,37,Blocked
SEC-INC-50022,2024-08-18 23:15:44,193.25.10.56,SRV-PROD-04,Netherlands,Privilege Escalation,Medium,Investigating,,Blocked
SEC-INC-50023,2024-07-12 07:52:09,134.54.244.49,SRV-PROD-01,India,SQL Injection,Low,False Positive,133,Allowed
SEC-INC-50024,2024-12-24 18:10:22,211.117.106.106,SRV-PROD-06,India,Malware Infiltration,Medium,False Positive,34,Allowed
SEC-INC-50025,2024-08-22 15:35:49,140.46.142.153,SRV-PROD-03,Netherlands,DDoS Attack,Low,Mitigated,167,Alerted
SEC-INC-50026,2024-12-25 22:35:13,70.255.23.207,SRV-PROD-02,China,Privilege Escalation,Low,Mitigated,31,Alerted
SEC-INC-50027,2024-11-15 19:49:59,70.163.114.129,SRV-PROD-01,Germany,DDoS Attack,Low,Mitigated,146,Alerted
SEC-INC-50028,2024-02-28 07:07:12,165.244.32.90,SRV-PROD-08,Netherlands,Privilege Escalation,Medium,Mitigated,6,Alerted
SEC-INC-50029,2024-04-24 18:28:47,117.69.226.169,SRV-PROD-05,Germany,DDoS Attack,Medium,Resolved,111,Allowed
SEC-INC-50030,2024-01-08 00:57:20,84.203.96.216,SRV-PROD-06,India,Brute Force SSH,Critical,Mitigated,66,Blocked
SEC-INC-50031,2024-10-11 14:14:56,94.158.165.101,SRV-PROD-01,Netherlands,Brute Force SSH,Critical,Mitigated,49,Blocked
SEC-INC-50032,2024-07-25 11:34:57,177.41.112.60,SRV-PROD-02,USA,Malware Infiltration,Low,Mitigated,165,Alerted
SEC-INC-50033,2024-10-10 05:47:27,127.53.24.24,SRV-PROD-01,Netherlands,Phishing Attempt,Medium,Investigating,,Allowed
SEC-INC-50034,2024-11-12 19:47:40,65.147.98.7,SRV-PROD-03,Unknown,Privilege Escalation,Medium,False Positive,52,Allowed
SEC-INC-50035,2024-11-30 08:04:25,121.50.138.216,SRV-PROD-04,Netherlands,SQL Injection,Medium,False Positive,26,Allowed
SEC-INC-50036,2024-11-17 00:50:33,208.253.149.222,SRV-PROD-02,China,DDoS Attack,High,Resolved,32,Blocked
SEC-INC-50037,2024-03-13 10:17:02,112.230.47.24,SRV-PROD-02,Unknown,SQL Injection,High,Investigating,,Blocked
SEC-INC-50038,2024-07-19 03:39:55,170.204.6.106,SRV-PROD-02,Unknown,Privilege Escalation,Low,Mitigated,101,Alerted
SEC-INC-50039,2024-11-20 16:24:57,86.47.77.3,SRV-PROD-03,Russia,Phishing Attempt,Critical,False Positive,128,Blocked
SEC-INC-50040,2024-11-10 21:50:42,184.2.41.134,SRV-PROD-05,China,Brute Force SSH,Medium,Resolved,137,Blocked
SEC-INC-50041,2024-03-19 07:52:31,138.30.231.56,SRV-PROD-01,India,Brute Force SSH,Low,Investigating,,Alerted
SEC-INC-50042,2024-05-20 17:32:00,96.245.24.90,SRV-PROD-05,Unknown,Privilege Escalation,High,Mitigated,136,Blocked
SEC-INC-50043,2024-07-23 07:01:44,109.45.51.176,SRV-PROD-05,Netherlands,Phishing Attempt,Medium,False Positive,47,Allowed
SEC-INC-50044,2024-09-06 15:46:55,159.109.153.192,SRV-PROD-05,India,Malware Infiltration,Low,Mitigated,114,Allowed
SEC-INC-50045,2024-10-17 12:50:57,140.230.162.210,SRV-PROD-02,Unknown,Brute Force SSH,High,False Positive,155,Blocked
SEC-INC-50046,2024-07-28 10:41:06,199.212.225.166,SRV-PROD-06,Netherlands,Phishing Attempt,Low,False Positive,114,Allowed
SEC-INC-50047,2024-07-02 08:55:54,63.56.169.96,SRV-PROD-06,USA,SQL Injection,Low,False Positive,7,Blocked
SEC-INC-50048,2024-06-17 07:46:59,164.146.204.83,SRV-PROD-04,China,DDoS Attack,Low,Investigating,,Blocked
SEC-INC-50049,2024-04-21 03:44:49,188.72.184.156,SRV-PROD-02,Netherlands,Privilege Escalation,High,False Positive,86,Blocked
SEC-INC-50050,2024-04-11 07:10:37,57.206.127.128,SRV-PROD-01,Germany,DDoS Attack,Low,Mitigated,48,Blocked
SEC-INC-50051,2024-06-16 21:31:25,143.61.148.6,SRV-PROD-05,Russia,Privilege Escalation,High,Resolved,123,Blocked
SEC-INC-50052,2024-05-25 04:46:18,148.10.230.137,SRV-PROD-01,India,Privilege Escalation,Low,Mitigated,29,Alerted
SEC-INC-50053,2024-06-03 10:00:02,126.193.89.103,SRV-PROD-02,India,DDoS Attack,Medium,Mitigated,81,Blocked
SEC-INC-50054,2024-08-20 17:57:42,209.248.234.32,SRV-PROD-06,China,Phishing Attempt,Low,Resolved,40,Allowed
SEC-INC-50055,2024-06-14 15:51:45,102.44.23.49,SRV-PROD-06,Russia,Privilege Escalation,High,False Positive,16,Blocked
SEC-INC-50056,2024-02-26 01:44:51,122.20.68.85,SRV-PROD-07,Germany,Privilege Escalation,Low,Investigating,,Blocked
SEC-INC-50057,2024-08-23 04:21:55,77.82.221.38,SRV-PROD-07,Unknown,Privilege Escalation,Low,Investigating,,Blocked
SEC-INC-50058,2024-09-01 17:50:38,116.83.198.188,SRV-PROD-08,Brazil,Phishing Attempt,Low,False Positive,26,Alerted
SEC-INC-50059,2024-10-12 08:49:28,213.166.189.220,SRV-PROD-04,China,Phishing Attempt,Critical,Resolved,59,Blocked
SEC-INC-50060,2024-01-07 07:52:09,164.210.99.49,SRV-PROD-08,China,SQL Injection,Low,False Positive,84,Blocked
SEC-INC-50061,2024-08-20 23:51:30,84.218.130.28,SRV-PROD-03,Brazil,SQL Injection,Low,Mitigated,163,Blocked
SEC-INC-50062,2024-04-13 14:34:15,93.18.72.109,SRV-PROD-03,Germany,Malware Infiltration,Medium,Investigating,,Alerted
SEC-INC-50063,2024-02-24 04:00:44,106.5.229.118,SRV-PROD-03,Germany,Phishing Attempt,Medium,Mitigated,95,Alerted
SEC-INC-50064,2024-03-01 20:02:09,66.91.111.55,SRV-PROD-03,Netherlands,Malware Infiltration,Medium,False Positive,18,Alerted
SEC-INC-50065,2024-05-19 13:27:47,70.13.167.98,SRV-PROD-07,Brazil,SQL Injection,Low,Investigating,,Blocked
SEC-INC-50066,2024-05-21 19:16:50,200.127.133.111,SRV-PROD-02,Russia,Privilege Escalation,Low,Resolved,61,Allowed
SEC-INC-50067,2024-01-28 01:17:57,192.69.62.17,SRV-PROD-02,Germany,Brute Force SSH,High,Mitigated,105,Blocked
