OrderID,OrderDate,ShipDate,ShipMode,CustomerID,ProductID,Region,Country,Quantity,UnitPrice,Discount,SalesAmount,CostAmount,Profit,PaymentMethod,ReturnStatus,ManagerEmail
ORD-20230001,2024-02-13,2024-02-16,Same Day,CUST-1036,PRD-114,Asia-Pac,Singapore,5,139.03,0.1,625.63,550,75.63,Cash on Delivery,Delivered,apac.manager@ysm.com
ORD-20230002,2023-01-29,2023-01-30,Standard Class,CUST-1034,PRD-103,US-West,USA,5,1092.89,0.0,5464.45,4000,1464.45,Cash on Delivery,Delivered,us.manager@ysm.com
ORD-20230003,2023-11-18,2023-11-22,First Class,CUST-1078,PRD-109,Asia-Pac,UAE,10,82.75,0.05,786.12,650,136.12,Credit Card,Delivered,apac.manager@ysm.com
ORD-20230004,2023-01-02,2023-01-07,Same Day,CUST-1069,PRD-111,West,India,4,306.65,0.1,1103.94,880,223.94,Credit Card,Delivered,west.manager@ysm.com
ORD-20230005,2023-12-05,2023-12-10,First Class,CUST-1041,PRD-111,South,India,5,312.31,0.2,1249.24,1100,149.24,Debit Card,Delivered,south.manager@ysm.com
ORD-20230006,2024-12-14,2024-12-17,First Class,CUST-1071,PRD-103,US-Central,USA,7,1030.69,0.05,6854.09,5600,1254.09,Debit Card,Delivered,us.manager@ysm.com
ORD-20230007,2023-01-01,2023-01-04,First Class,CUST-1037,PRD-104,US-East,USA,10,80.16,0.2,641.28,600,41.28,Debit Card,Delivered,us.manager@ysm.com
ORD-20230008,2024-11-22,2024-11-24,First Class,CUST-1066,PRD-108,North,India,3,105.66,0.0,316.98,225,91.98,Cash on Delivery,Delivered,north.manager@ysm.com
ORD-20230009,2024-09-26,2024-09-29,Second Class,CUST-1012,PRD-114,Asia-Pac,UAE,4,158.44,0.1,570.38,440,130.38,UPI,Delivered,apac.manager@ysm.com
ORD-20230010,2023-02-17,2023-02-19,Same Day,CUST-1061,PRD-110,South,India,2,212.99,0.15,362.08,300,62.08,Cash on Delivery,Delivered,south.manager@ysm.com
ORD-20230011,2024-12-14,2024-12-18,Same Day,CUST-1064,PRD-107,South,India,1,493.54,0.0,493.54,380,113.54,UPI,Delivered,south.manager@ysm.com
ORD-20230012,2024-12-13,2024-12-18,Second Class,CUST-1060,PRD-101,US-East,USA,2,1157.26,0.15,1967.34,1700,267.34,Debit Card,Delivered,us.manager@ysm.com
ORD-20230013,2024-07-26,2024-07-31,Same Day,CUST-1041,PRD-113,South,India,10,642.73,0.2,5141.84,4500,641.84,Cash on Delivery,Delivered,south.manager@ysm.com
ORD-20230014,2023-06-12,2023-06-18,Same Day,CUST-1061,PRD-108,South,India,4,97.64,0.1,351.5,300,51.5,UPI,Delivered,south.manager@ysm.com
ORD-20230015,2023-03-21,2023-03-27,Standard Class,CUST-1037,PRD-104,US-East,USA,6,78.26,0.2,375.65,360,15.65,UPI,Delivered,us.manager@ysm.com
ORD-20230016,2024-01-28,2024-02-03,First Class,CUST-1020,PRD-112,Europe,UK,7,361.98,0.15,2153.78,1960,193.78,Cash on Delivery,Delivered,eu.manager@ysm.com
ORD-20230017,2023-03-05,2023-03-07,Same Day,CUST-1054,PRD-107,West,India,10,543.77,0.0,5437.7,3800,1637.7,Debit Card,Returned,west.manager@ysm.com
ORD-20230018,2023-12-27,2023-12-30,Second Class,CUST-1097,PRD-107,Asia-Pac,Singapore,7,539.86,0.2,3023.22,2660,363.22,Debit Card,Delivered,apac.manager@ysm.com
ORD-20230019,2024-03-22,2024-03-26,Same Day,CUST-1004,PRD-107,South,India,7,500.55,0.05,3328.66,2660,668.66,UPI,Delivered,south.manager@ysm.com
ORD-20230020,2024-06-30,2024-07-01,Same Day,CUST-1051,PRD-110,South,India,1,204.43,0.0,204.43,150,54.43,UPI,Delivered,south.manager@ysm.com
ORD-20230021,2023-07-06,2023-07-07,First Class,CUST-1034,PRD-107,US-West,USA,8,499.88,0.1,3599.14,3040,559.14,Debit Card,Delivered,us.manager@ysm.com
ORD-20230022,2024-03-07,2024-03-10,First Class,CUST-1011,PRD-108,West,India,9,94.04,0.0,846.36,675,171.36,UPI,Delivered,west.manager@ysm.com
ORD-20230023,2024-10-29,2024-10-30,Second Class,CUST-1097,PRD-101,Asia-Pac,Singapore,4,1223.93,0.0,4895.72,3400,1495.72,UPI,Delivered,apac.manager@ysm.com
