ProductID,ProductName,Category,Region,Jan_Sales,Feb_Sales,Mar_Sales,Apr_Sales,May_Sales,Jun_Sales,Jul_Sales,Aug_Sales,Sep_Sales,Oct_Sales,Nov_Sales,Dec_Sales
PRD-101,Dell XPS 15,Technology,North,9413,2147,3772,5086,17585,10783,12913,6623,14862,1002,9137,10850
PRD-101,Dell XPS 15,Technology,West,2512,10614,15579,5582,17070,11254,12538,17731,7876,4244,2465,8769
PRD-101,Dell XPS 15,Technology,South,2203,7162,5642,10820,8052,5397,8079,12765,10089,5210,14828,3436
PRD-101,Dell XPS 15,Technology,East,9354,9541,13510,6351,14109,15944,3728,9328,14937,5693,7676,3312
PRD-102,MacBook Air M2,Technology,North,9827,7312,13194,17758,6375,14752,6029,11366,15209,13417,1849,9110
PRD-102,MacBook Air M2,Technology,West,3540,9851,5083,4604,14329,3161,11792,3915,12888,11928,9953,5794
PRD-102,MacBook Air M2,Technology,South,8397,9966,1323,4209,13358,8281,13407,4440,5046,6758,11045,17043
PRD-102,MacBook Air M2,Technology,East,4130,12432,10240,9881,4246,2571,6595,11420,13765,6920,12310,14194
PRD-103,Lenovo ThinkPad X1,Technology,North,16625,5180,9488,1311,17828,6095,5140,5675,13412,9761,2732,13129
PRD-103,Lenovo ThinkPad X1,Technology,West,9162,14705,16000,6999,15383,12599,16357,17457,10398,10038,15017,8496
PRD-103,Lenovo ThinkPad X1,Technology,South,11000,3848,11015,14320,11247,3953,3604,3513,8865,4068,6410,2881
PRD-103,Lenovo ThinkPad X1,Technology,East,3771,10366,17149,1350,14893,17668,5470,16717,17312,17875,5085,14286
PRD-104,Logitech MX Master 3,Technology,North,1455,7231,1238,14925,12306,9002,2387,15701,6522,8375,6728,3461
PRD-104,Logitech MX Master 3,Technology,West,13027,5368,17832,12576,2668,14851,17236,13422,6586,13231,4710,12074
PRD-104,Logitech MX Master 3,Technology,South,9184,4862,10504,10803,16831,10618,9675,7981,1073,13898,8125,10988
PRD-104,Logitech MX Master 3,Technology,East,17892,2160,16173,16999,2884,12657,1193,16084,11765,10776,12596,4511
PRD-105,Mechanical Keyboard RGB,Technology,North,1168,12459,7100,14174,12617,1290,4320,15116,17123,7473,3776,17853
PRD-105,Mechanical Keyboard RGB,Technology,West,6036,14458,5058,16971,1226,6099,9196,8408,16423,13955,13265,10806
PRD-105,Mechanical Keyboard RGB,Technology,South,12943,15035,6969,9830,4561,15371,15396,6302,5583,12591,15220,1190
PRD-105,Mechanical Keyboard RGB,Technology,East,12771,7503,4626,7211,10335,2319,5380,13928,14797,11853,2035,6253
PRD-106,Samsung 27-inch 4K,Technology,North,7520,16705,9709,4892,14798,17025,17238,5175,11645,14103,17444,13741
PRD-106,Samsung 27-inch 4K,Technology,West,5306,4595,4534,1693,5132,6096,12276,17384,1447,8749,2705,12211
PRD-106,Samsung 27-inch 4K,Technology,South,15079,1263,15232,16734,10485,10247,16922,3707,15055,9118,5996,17752
PRD-106,Samsung 27-inch 4K,Technology,East,7123,9174,10212,4768,9635,9105,15062,7501,16528,4377,17460,6937
PRD-107,LG UltraWide 34-inch,Technology,North,7182,5873,8516,4947,5335,14149,2257,9973,7297,5790,14969,1578
PRD-107,LG UltraWide 34-inch,Technology,West,7541,3979,2669,13463,14346,11041,8583,8267,12015,14961,16702,3010
PRD-107,LG UltraWide 34-inch,Technology,South,17707,14994,2692,10970,4606,9822,12913,10193,12502,14699,9092,11480
PRD-107,LG UltraWide 34-inch,Technology,East,2558,6955,2339,1017,2708,11539,7946,10349,16468,10180,4301,15119
PRD-108,External SSD 1TB SanDisk,Office Supplies,North,7056,9266,17098,12913,11953,10973,4654,4174,1447,5269,11853,12815
PRD-108,External SSD 1TB SanDisk,Office Supplies,West,12841,13176,8807,10042,7882,13584,3858,4485,5275,4943,2344,7240
PRD-108,External SSD 1TB SanDisk,Office Supplies,South,7321,15606,4232,3453,12236,10878,16538,7619,6035,2435,5188,7281
PRD-108,External SSD 1TB SanDisk,Office Supplies,East,14703,9274,12381,12993,15695,4847,15290,3218,16821,14729,17510,1716
PRD-109,Seagate 4TB HDD,Office Supplies,North,6470,9983,5224,10491,2489,2992,7232,14025,17221,17825,3457,6423
PRD-109,Seagate 4TB HDD,Office Supplies,West,15344,17688,13587,13787,14135,9896,7780,7031,1117,6242,8137,1290
PRD-109,Seagate 4TB HDD,Office Supplies,South,17803,15923,17509,9481,10942,8219,10711,9798,4902,6606,8337,2494
PRD-109,Seagate 4TB HDD,Office Supplies,East,8805,10563,2280,5854,10101,5357,9861,2688,9159,7880,4807,1045
PRD-110,Ergonomic Mesh Chair,Office Supplies,North,12385,13095,11635,3727,9652,5378,14380,10663,11637,2876,1341,12648
PRD-110,Ergonomic Mesh Chair,Office Supplies,West,8185,10164,6791,9388,1512,4487,13516,9432,7755,15489,8229,11625
PRD-110,Ergonomic Mesh Chair,Office Supplies,South,9807,7682,13958,6100,15616,8593,15218,13079,5860,16696,4070,17251
PRD-110,Ergonomic Mesh Chair,Office Supplies,East,6947,16053,7062,6770,7188,17073,6911,10242,1689,11163,6338,6823
PRD-111,Executive Leather Chair,Office Supplies,North,13917,7155,3275,5702,3360,14972,9036,15910,14189,4284,5498,1386
PRD-111,Executive Leather Chair,Office Supplies,West,4267,13382,13582,1678,4605,1444,2433,5331,9137,3739,9770,5673
PRD-111,Executive Leather Chair,Office Supplies,South,1442,1307,4484,12088,3784,7629,5562,16742,15559,6345,11072,11870
PRD-111,Executive Leather Chair,Office Supplies,East,16692,6063,8989,2830,9764,5032,1694,2459,4369,10723,4360,17762
PRD-112,Motorized Standing Desk,Office Supplies,North,14608,5647,1039,8350,1786,8427,14996,13628,5829,12577,10399,8401
